sparkasse,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Sparkasse Rotenburg-Bremervörde,Niedersachsen,0.5208118764,690 T. €,345.0,345 T. €,"1,8 Mrd. €",471,471.0,2
Kreissparkasse Halle,Nordrhein-Westfalen,0.356440065,690 T. €,345.0,345 T. €,"1,4 Mrd. €",245,245.0,2
Sparkasse Jena-Saale-Holzland,Thüringen,0.4695843545,694 T. €,231.33333333333334,"231,3 T. €","1,9 Mrd. €",479,479.0,3
Kreissparkasse Schwalm-Eder,Hessen,0.5148869898,699 T. €,349.5,"349,5 T. €",2 Mrd. €,445,445.0,2
Sparkasse im Landkreis Schwandorf,Bayern,0.5270469335,701 T. €,300.85836909871244,"300,9 T. €","1,9 Mrd. €",534,534.0,"2,33"
Sparkasse Dieburg,Hessen,0.736059601,"704,6 T. €",352.3,"352,3 T. €","2,2 Mrd. €",524,524.0,2
Sparkasse zu Lübeck AG,Schleswig-Holstein,0.700964196,707 T. €,353.5,"353,5 T. €","2,4 Mrd. €",493,493.0,2
Sparkasse Gera-Greiz,Thüringen,0.5195283085,740 T. €,246.66666666666666,"246,7 T. €","1,9 Mrd. €",494,494.0,3
Sparkasse Mülheim an der Ruhr,Nordrhein-Westfalen,0.7265559222,"744,7 T. €",248.21833333333333,"248,2 T. €","2,7 Mrd. €",534,534.0,3
Sparkasse Dachau,Bayern,0.7157140412,749 T. €,374.5,"374,5 T. €","2,6 Mrd. €",561,561.0,2
Sparkasse Hochrhein,Baden-Württemberg,0.7838573377,763 T. €,339.11111111111114,"339,1 T. €","2,7 Mrd. €",567,567.0,"2,25"
Sparkasse Berchtesgadener Land,Bayern,0.4306901371,764 T. €,254.66666666666666,"254,7 T. €","1,5 Mrd. €",394,394.0,3
Sparkasse im Landkreis Neustadt/Aisch - Bad Windsheim,Bayern,0.52921074163,777 T. €,259.0,259 T. €,"1,8 Mrd. €",457,457.0,3
Kreissparkasse Traunstein-Trostberg,Bayern,0.5059352992,779 T. €,259.66666666666663,"259,7 T. €",2 Mrd. €,469,469.0,3
Vereinigte Sparkassen im Landkreis Weilheim,Bayern,0.4630822982,779 T. €,259.66666666666663,"259,7 T. €","1,6 Mrd. €",409,409.0,3
Sparkasse Miltenberg-Obernburg,Bayern,0.5169550678,780 T. €,260.0,260 T. €,"1,8 Mrd. €",530,530.0,3
Stadt-Sparkasse Solingen,Nordrhein-Westfalen,0.620420552,781 T. €,390.5,"390,5 T. €","2,2 Mrd. €",630,630.0,2
Kreissparkasse Wiedenbrück,Nordrhein-Westfalen,0.5728771,784 T. €,392.0,392 T. €,"2,1 Mrd. €",366,366.0,2
OstseeSparkasse Rostock,Mecklenburg-Vorpommern,0.817627535,792 T. €,396.0,396 T. €,3 Mrd. €,741,741.0,2
Kreis- und Stadtsparkasse Erding - Dorfen,Bayern,0.5234468213,794 T. €,264.6666666666667,"264,7 T. €","1,9 Mrd. €",421,421.0,3
Sparkasse Baden-Baden Gaggenau,Baden-Württemberg,0.4865835309,795 T. €,265.0,265 T. €,"1,8 Mrd. €",390,390.0,3
Sparkasse Hildesheim,Niedersachsen,1.1856920945,805 T. €,268.3333333333333,"268,3 T. €","3,9 Mrd. €",1085,1085.0,3
Kreissparkasse Miesbach-Tegernsee,Bayern,0.5056710061,806 T. €,268.6666666666667,"268,7 T. €","1,7 Mrd. €",380,380.0,3
Sparkasse Zwickau,Sachsen,0.7505540274,812 T. €,406.0,406 T. €,"2,6 Mrd. €",514,514.0,2
Sparkasse Langen-Seligenstadt,Hessen,0.943730212,817 T. €,408.5,"408,5 T. €","3,2 Mrd. €",740,740.0,2
Vereinigte Spk. Eschenbach Neustadt Vohenstrauß,Bayern,0.4261203879,818 T. €,272.6666666666667,"272,7 T. €","1,3 Mrd. €",348,348.0,3
Sparkasse Fulda,Hessen,1.0106091351,828 T. €,276.0,276 T. €,"3,5 Mrd. €",837,837.0,3
Sparkasse Schweinfurt,Bayern,0.6983925426300001,833 T. €,277.6666666666667,"277,7 T. €","2,5 Mrd. €",596,596.0,3
Sparkasse Landsberg-Dießen,Bayern,0.5163655792,856 T. €,285.3333333333333,"285,3 T. €","1,7 Mrd. €",404,404.0,3
Sparkasse Märkisch-Oderland,Brandenburg,0.375004743,866 T. €,288.6666666666667,"288,7 T. €","1,5 Mrd. €",361,361.0,3
Sparkasse Soest,Nordrhein-Westfalen,0.410892773,870 T. €,290.0,290 T. €,"1,5 Mrd. €",303,303.0,3
Sparkasse Oberlausitz-Niederschlesien,Sachsen,0.7931401242,874 T. €,437.0,437 T. €,"2,9 Mrd. €",590,590.0,2
Sparkasse Neumarkt-Parsberg,Bayern,0.63536780234,876 T. €,292.0,292 T. €,2 Mrd. €,540,540.0,3
Sparkasse Neu-Ulm - Illertissen,Bayern,0.5516007959,876 T. €,292.0,292 T. €,"1,9 Mrd. €",525,525.0,3
Sparkasse Bad Tölz-Wolfratshausen,Bayern,0.5946267712,888 T. €,296.0,296 T. €,"2,1 Mrd. €",491,491.0,3
Sparkasse Südholstein,Schleswig-Holstein,1.4732214494,903 T. €,387.55364806866953,"387,6 T. €",5 Mrd. €,1052,1052.0,"2,33"
Sparkasse Minden-Lübbecke,Nordrhein-Westfalen,0.692419742,906 T. €,302.0,302 T. €,"2,3 Mrd. €",679,679.0,3
Kreissparkasse Saarlouis,Saarland,0.9835486722,915 T. €,305.0,305 T. €,"3,6 Mrd. €",769,769.0,3
Vereinigte Sparkassen Stadt- und Landkreis Ansbach,Bayern,0.82861757729,920 T. €,306.6666666666667,"306,7 T. €","2,9 Mrd. €",708,708.0,3
Sparkasse Schwäbisch Hall Crailsheim,Baden-Württemberg,0.8254863453,921 T. €,307.0,307 T. €,"3,1 Mrd. €",576,576.0,3
Sparkasse Göttingen,Niedersachsen,0.762504386,925 T. €,308.3333333333333,"308,3 T. €","2,7 Mrd. €",730,730.0,3
Sparkasse Meißen,Sachsen,0.6432656662,932 T. €,372.8,"372,8 T. €","2,5 Mrd. €",441,441.0,"2,5"
Sparkasse Vorpommern,Mecklenburg-Vorpommern,0.8704397805,935 T. €,311.6666666666667,"311,7 T. €","3,2 Mrd. €",770,770.0,3
Sparkasse Marburg-Biedenkopf,Hessen,0.9536108948,945 T. €,315.0,315 T. €,"3,2 Mrd. €",916,916.0,3
Sparkasse Coburg-Lichtenfels,Bayern,0.6628985131,950 T. €,316.6666666666667,"316,7 T. €","2,4 Mrd. €",657,657.0,3
Taunus Sparkasse,Hessen,1.28345,957 T. €,395.4545454545455,"395,5 T. €","4,4 Mrd. €",851,851.0,"2,42"
Sparkasse Aschaffenburg-Alzenau,Bayern,1.0828795997,962 T. €,320.6666666666667,"320,7 T. €","3,9 Mrd. €",941,941.0,3
Stadtsparkasse Oberhausen,Nordrhein-Westfalen,0.6465968008,964 T. €,241.00475,241 T. €,"2,4 Mrd. €",589,589.0,4
Sparkasse der Stadt Iserlohn,Nordrhein-Westfalen,0.431787038,967 T. €,322.3333333333333,"322,3 T. €","1,5 Mrd. €",373,373.0,3
Sparkasse Hamm,Nordrhein-Westfalen,0.447025237,970 T. €,323.3333333333333,"323,3 T. €","1,7 Mrd. €",376,376.0,3
Sparkasse Regensburg,Bayern,1.1774737792,973 T. €,324.3333333333333,"324,3 T. €",4 Mrd. €,856,856.0,3
Sparkasse Kraichgau,Baden-Württemberg,1.0433429887,973 T. €,324.3333333333333,"324,3 T. €","3,9 Mrd. €",768,768.0,3
Sparkasse Amberg-Sulzbach,Bayern,0.53472634829,978 T. €,326.0,326 T. €,2 Mrd. €,527,527.0,3
Sparkasse Markgräflerland,Baden-Württemberg,0.614480143,980 T. €,326.6666666666667,"326,7 T. €","2,3 Mrd. €",412,412.0,3
Sparkasse Lüdenscheid,Nordrhein-Westfalen,0.5310591325,"980,4 T. €",326.8,"326,8 T. €","1,8 Mrd. €",425,425.0,3
Sparkasse Bamberg,Bayern,0.9256449138,986 T. €,358.5454545454545,"358,5 T. €","3,5 Mrd. €",969,969.0,"2,75"
Kreissparkasse Reutlingen,Baden-Württemberg,1.2437451261,988 T. €,329.3333333333333,"329,3 T. €","4,7 Mrd. €",1017,1017.0,3
Sparkasse Passau,Bayern,0.7569454253,989 T. €,329.6666666666667,"329,7 T. €","2,6 Mrd. €",779,779.0,3
Sparkasse Emsland,Niedersachsen,0.9224059551,990 T. €,330.0,330 T. €,"3,1 Mrd. €",889,889.0,3
Sparkasse Allgäu,Bayern,1.1836326934,994 T. €,331.3333333333333,"331,3 T. €","4,2 Mrd. €",1079,1079.0,3
Sparkasse Altötting-Mühldorf,Bayern,0.6815541913,995 T. €,331.6666666666667,"331,7 T. €","2,4 Mrd. €",617,617.0,3
Sparkasse Memmingen-Lindau-Mindelheim,Bayern,1.0634690214,1 Mio. €,333.6666666666667,"333,7 T. €","3,7 Mrd. €",837,837.0,3
Kreissparkasse Düsseldorf,Nordrhein-Westfalen,0.7505889963,1 Mio. €,338.5416666666667,"338,5 T. €","2,6 Mrd. €",679,679.0,3
Stadt- und Kreissparkasse Erlangen,Bayern,1.193458632,1 Mio. €,374.9077490774908,"374,9 T. €","4,2 Mrd. €",918,918.0,"2,71"
Sparkasse am Niederrhein,Nordrhein-Westfalen,0.8385817628,1 Mio. €,338.7333333333333,"338,7 T. €","3,1 Mrd. €",757,757.0,3
Sparkasse Offenburg/Ortenau,Baden-Württemberg,1.0996122614,1 Mio. €,341.3333333333333,"341,3 T. €",4 Mrd. €,870,870.0,3
Kreissparkasse Göppingen,Baden-Württemberg,1.4270521701,1 Mio. €,343.0,343 T. €,"5,1 Mrd. €",1176,1176.0,3
Kreissparkasse Tübingen,Baden-Württemberg,1.2612693772,1 Mio. €,347.6666666666667,"347,7 T. €","4,8 Mrd. €",985,985.0,3
Sparkasse Fürstenfeldbruck,Bayern,0.9941456375,1 Mio. €,349.0,349 T. €,"3,3 Mrd. €",812,812.0,3
Kreissparkasse Ostalb,Baden-Württemberg,1.3022030002,"1,1 Mio. €",352.6666666666667,"352,7 T. €","4,7 Mrd. €",1068,1068.0,3
Sparkasse Rosenheim-Bad Aibling,Bayern,1.2641738159,"1,1 Mio. €",398.49624060150376,"398,5 T. €","4,5 Mrd. €",974,974.0,"2,66"
Sparkasse Fürth,Bayern,0.8403634101,"1,1 Mio. €",354.3333333333333,"354,3 T. €",3 Mrd. €,775,775.0,3
Kreissparkasse Heinsberg,Nordrhein-Westfalen,0.8668226112,"1,1 Mio. €",354.5,"354,5 T. €",3 Mrd. €,702,702.0,3
Sparkasse Hanau,Hessen,1.2378997089,"1,1 Mio. €",355.6666666666667,"355,7 T. €","4,3 Mrd. €",689,689.0,3
Sparkasse Landshut,Bayern,0.9522736939,"1,1 Mio. €",360.3333333333333,"360,3 T. €","3,5 Mrd. €",863,863.0,3
Sparkasse Oder-Spree,Brandenburg,0.7448915,"1,1 Mio. €",372.60273972602744,"372,6 T. €","2,5 Mrd. €",524,524.0,"2,92"
Sparkasse Düren,Nordrhein-Westfalen,0.9541624384,"1,1 Mio. €",364.3333333333333,"364,3 T. €","3,4 Mrd. €",813,813.0,3
Sparkasse Mittelfranken-Süd,Bayern,0.9208546425,"1,1 Mio. €",364.6666666666667,"364,7 T. €","3,5 Mrd. €",923,923.0,3
Kreissparkasse Augsburg,Bayern,0.8779722134,"1,1 Mio. €",364.6666666666667,"364,7 T. €","3,2 Mrd. €",688,688.0,3
Sparkasse Hagen,Nordrhein-Westfalen,0.7041618107,"1,1 Mio. €",364.6666666666667,"364,7 T. €","2,5 Mrd. €",538,538.0,3
Sparkasse Ulm,Baden-Württemberg,1.6145199062,"1,1 Mio. €",366.0,366 T. €,"5,6 Mrd. €",1264,1264.0,3
Sparkasse Mittelthüringen,Thüringen,1.11390394,"1,1 Mio. €",366.3333333333333,"366,3 T. €","3,9 Mrd. €",893,893.0,3
Sparkasse Oberhessen,Hessen,1.2895025455,"1,1 Mio. €",368.6666666666667,"368,7 T. €","4,4 Mrd. €",1042,1042.0,3
Sparkasse Niederbayern-Mitte,Bayern,1.0207118769,"1,1 Mio. €",368.6666666666667,"368,7 T. €","3,8 Mrd. €",827,827.0,3
Sparkasse Bodensee,Baden-Württemberg,1.1566752083,"1,1 Mio. €",372.6666666666667,"372,7 T. €","4,1 Mrd. €",901,901.0,3
Sparkasse Ingolstadt,Bayern,1.1637384427,"1,1 Mio. €",375.6666666666667,"375,7 T. €","3,8 Mrd. €",787,787.0,3
Sparkasse Westholstein,Schleswig-Holstein,0.9099278694,"1,1 Mio. €",378.0,378 T. €,"3,3 Mrd. €",708,708.0,3
Sparkasse Hochfranken,Bayern,1.0054431434,"1,1 Mio. €",381.3333333333333,"381,3 T. €","3,5 Mrd. €",940,940.0,3
Kreissparkasse Groß-Gerau,Hessen,0.7732305998,"1,2 Mio. €",385.0,385 T. €,"2,7 Mrd. €",686,686.0,3
Sparkasse Vogtland,Sachsen,0.8440424112,"1,2 Mio. €",392.0,392 T. €,3 Mrd. €,598,598.0,3
Sparkasse Saarbrücken,Saarland,1.7576742084,"1,2 Mio. €",299.5,"299,5 T. €","6,8 Mrd. €",1283,1283.0,4
Sparkasse Lemgo,Nordrhein-Westfalen,0.772104865,"1,2 Mio. €",403.6666666666667,"403,7 T. €","2,8 Mrd. €",630,630.0,3
Kreis- und Stadtsparkasse Unna-Kamen,Nordrhein-Westfalen,0.6194226,"1,2 Mio. €",308.5,"308,5 T. €","2,2 Mrd. €",433,433.0,4
Kasseler Sparkasse,Hessen,1.4430817296,"1,2 Mio. €",310.0,310 T. €,"5,2 Mrd. €",1170,1170.0,4
Stadtsparkasse Augsburg,Bayern,1.5659339028,"1,2 Mio. €",416.0,416 T. €,"5,4 Mrd. €",1343,1343.0,3
Sparkasse Worms-Alzey-Ried,Rheinland-Pfalz,0.7816195838,"1,3 Mio. €",418.6666666666667,"418,7 T. €","2,9 Mrd. €",613,613.0,3
Stadt- und Kreissparkasse Darmstadt,Hessen,1.2553698216,"1,3 Mio. €",422.3333333333333,"422,3 T. €","4,1 Mrd. €",856,856.0,3
Sparkasse Siegen,Nordrhein-Westfalen,0.8882343577,"1,3 Mio. €",422.3333333333333,"422,3 T. €","3,1 Mrd. €",796,796.0,3
Sparkasse Hilden Ratingen Velbert,Nordrhein-Westfalen,0.9136011831,"1,3 Mio. €",422.7,"422,7 T. €","3,3 Mrd. €",789,789.0,3
Sparkasse Herford,Nordrhein-Westfalen,1.2972289557,"1,3 Mio. €",423.3333333333333,"423,3 T. €","4,4 Mrd. €",1089,1089.0,3
Sparkasse Leverkusen,Nordrhein-Westfalen,0.8448484042,"1,3 Mio. €",428.7666666666667,"428,8 T. €","3,1 Mrd. €",619,619.0,3
Kreissparkasse Steinfurt,Nordrhein-Westfalen,0.9399790296,"1,3 Mio. €",334.0,334 T. €,"3,4 Mrd. €",910,910.0,4
Sparkasse Bielefeld,Nordrhein-Westfalen,1.6429114882,"1,3 Mio. €",445.6666666666667,"445,7 T. €","5,8 Mrd. €",1430,1430.0,3
Weser-Elbe Sparkasse,Niedersachsen,1.1635728,"1,3 Mio. €",446.3333333333333,"446,3 T. €",4 Mrd. €,976,976.0,3
Erzgebirgssparkasse,Sachsen,1.107913448,"1,3 Mio. €",449.6666666666667,"449,7 T. €","4,2 Mrd. €",1091,1091.0,3
Sparkasse Krefeld,Nordrhein-Westfalen,2.281993233092,"1,3 Mio. €",449.68,"449,7 T. €","8,2 Mrd. €",1819,1819.0,3
Sparkasse Karlsruhe Ettlingen,Baden-Württemberg,2.0860387954,"1,5 Mio. €",372.75,"372,8 T. €","7,2 Mrd. €",1614,1614.0,4
Sparkasse Mainfranken Würzburg,Bayern,2.1809455971,"1,5 Mio. €",376.25,"376,2 T. €","7,2 Mrd. €",1803,1803.0,4
Sparkasse Bochum,Nordrhein-Westfalen,1.698608182903,"1,5 Mio. €",504.3333333333333,"504,3 T. €","5,9 Mrd. €",1219,1219.0,3
Sparkasse Neuss,Nordrhein-Westfalen,1.7722486205,"1,5 Mio. €",378.95,"378,9 T. €","6,3 Mrd. €",1301,1301.0,4
Kreissparkasse Mittelsachsen,Sachsen,0.8109155967,"1,5 Mio. €",384.5,"384,5 T. €",3 Mrd. €,631,631.0,4
Stadtsparkasse Wuppertal,Nordrhein-Westfalen,1.9660949323,"1,6 Mio. €",519.0,519 T. €,"6,9 Mrd. €",1384,1384.0,3
Mittelbrandenburgische Sparkasse in Potsdam,Brandenburg,2.896151972698,"1,6 Mio. €",390.0,390 T. €,11 Mrd. €,1683,1683.0,4
Sparkasse Vest Recklinghausen,Nordrhein-Westfalen,1.605595003,"1,6 Mio. €",436.3387978142076,"436,3 T. €","5,7 Mrd. €",1356,1356.0,"3,66"
Ostsächsische Sparkasse Dresden,Sachsen,3.2078108515,"1,6 Mio. €",535.3333333333334,"535,3 T. €","11,9 Mrd. €",1799,1799.0,3
Kreissparkasse Ludwigsburg,Baden-Württemberg,2.64454144011,"1,6 Mio. €",535.6666666666666,"535,7 T. €","9,8 Mrd. €",1802,1802.0,3
Stadt- und Kreissparkasse Leipzig,Sachsen,2.340156841398,"1,6 Mio. €",542.3333333333334,"542,3 T. €","8,8 Mrd. €",1663,1663.0,3
Landessparkasse zu Oldenburg,Niedersachsen,2.36254,"1,6 Mio. €",411.75,"411,8 T. €","8,4 Mrd. €",1677,1677.0,4
Sparkasse Rhein Neckar Nord,Baden-Württemberg,1.2073845396,"1,6 Mio. €",471.14285714285717,"471,1 T. €","4,6 Mrd. €",941,941.0,"3,5"
Sparkasse Nürnberg,Bayern,3.0578534734700002,"1,7 Mio. €",425.0,425 T. €,"10,3 Mrd. €",2211,2211.0,4
Sparkasse Paderborn-Detmold,Nordrhein-Westfalen,1.8131573051,"1,8 Mio. €",441.25,"441,2 T. €","6,5 Mrd. €",1546,1546.0,4
Sparkasse Westmünsterland,Nordrhein-Westfalen,1.7797937923,"1,8 Mio. €",446.95,"446,9 T. €","6,4 Mrd. €",1463,1463.0,4
Förde Sparkasse,Schleswig-Holstein,1.7359906425,"1,8 Mio. €",454.0,454 T. €,"6,5 Mrd. €",1417,1417.0,4
Nassauische Sparkasse,Hessen,3.33707516809,"1,8 Mio. €",461.75,"461,8 T. €","10,8 Mrd. €",1901,1901.0,4
Stadtsparkasse Düsseldorf,Nordrhein-Westfalen,3.206438536273,"1,9 Mio. €",487.04897959183677,487 T. €,"11,5 Mrd. €",2268,2268.0,"3,92"
Kreissparkasse München Starnberg Ebersberg,Bayern,2.81393,"1,9 Mio. €",484.5,"484,5 T. €","10,2 Mrd. €",1801,1801.0,4
Stadtsparkasse Mönchengladbach,Nordrhein-Westfalen,1.3080200174,2 Mio. €,390.8612,"390,9 T. €","4,6 Mrd. €",964,964.0,5
Stadtsparkasse Dortmund,Nordrhein-Westfalen,2.3321649049,2 Mio. €,497.0,497 T. €,"8,3 Mrd. €",1823,1823.0,4
Sparkasse Duisburg,Nordrhein-Westfalen,1.5249140971,2 Mio. €,409.4,"409,4 T. €","5,4 Mrd. €",1430,1430.0,5
Sparkasse Essen,Nordrhein-Westfalen,2.1855912258,"2,1 Mio. €",521.725,"521,7 T. €",8 Mrd. €,1627,1627.0,4
Sparkasse Münsterland Ost,Nordrhein-Westfalen,2.40404,"2,2 Mio. €",556.0,556 T. €,"8,8 Mrd. €",1437,1437.0,4
Sparkasse Hannover,Niedersachsen,4.0034857866,"2,2 Mio. €",613.6612021857924,"613,7 T. €","13,6 Mrd. €",2255,2255.0,"3,66"
Sparkasse Vorderpfalz,Rheinland-Pfalz,1.5824203628,"2,4 Mio. €",396.3333333333333,"396,3 T. €","5,7 Mrd. €",1112,1112.0,6
Die Sparkasse Bremen AG,Bremen,3.094575238624,"2,4 Mio. €",600.0,600 T. €,11 Mrd. €,1537,1537.0,4
Stadtsparkasse München,Bayern,4.6918148,"2,5 Mio. €",490.2,"490,2 T. €","16,4 Mrd. €",2742,2742.0,5
Frankfurter Sparkasse,Hessen,8.0,"2,5 Mio. €",613.0,613 T. €,"17,7 Mrd. €",1797,1797.0,4
Sparkasse KölnBonn,Nordrhein-Westfalen,7.54327605925,"2,6 Mio. €",512.76,"512,8 T. €","27,4 Mrd. €",4536,4536.0,5
Sparkasse Aachen,Nordrhein-Westfalen,3.1178573000200003,"2,7 Mio. €",544.8,"544,8 T. €",10 Mrd. €,2071,2071.0,5
Kreissparkasse Köln,Nordrhein-Westfalen,6.5876078123,"3,5 Mio. €",704.28,"704,3 T. €","23,1 Mrd. €",4512,4512.0,5
Berliner Sparkasse,Berlin,8.0,"3,9 Mio. €",651.8333333333334,"651,8 T. €","57,4 Mrd. €",4073,4073.0,6
Hamburger Sparkasse AG,Hamburg,8.0,"4,2 Mio. €",853.6585365853659,"853,7 T. €","41,9 Mrd. €",5358,5358.0,"4,92"
